team_name_home,player_names_home,player_numbers_home
South Korea,"['Son Heung-min', 'Cho Gue-sung', 'Hwang Hee-chan', 'Hwang In-beom', 'Jung Woo-young', 'Lee Jae-sung', 'Kim Jin-su', 'Kim Young-gwon', 'Kim Min-jae', 'Kim Moon-hwan', 'Kim Seung-gyu']","['7', '9', '11', '6', '5', '10', '3', '19', '4', '15', '1']"
Croatia,"['Perišić', 'Petković', 'Kramarić', 'Kovačić', 'Brozović', 'Modrić', 'Barišić', 'Gvardiol', 'Lovren', 'Juranović', 'Livaković']","['4', '16', '9', '8', '11', '10', '3', '20', '6', '22', '1']"
Senegal,"['Dia', 'Sarr', 'Ndiaye', 'Diatta', 'Mendy', 'Ciss', 'Jakobs', 'Diallo', 'Koulibaly', 'Sabaly', 'Mendy']","['9', '18', '13', '15', '6', '11', '14', '22', '3', '21', '16']"
Poland,"['Lewandowski', 'Frankowski', 'Szymański', 'Zieliński', 'Kamiński', 'Krychowiak', 'Bereszyński', 'Kiwior', 'Glik', 'Cash', 'Szczęsny']","['9', '24', '19', '20', '13', '10', '18', '14', '15', '2', '1']"
Australia,"['Irvine', 'Duke', 'McGree', 'Mooy', 'Baccus', 'Leckie', 'Behich', 'Rowles', 'Souttar', 'Degenek', 'Ryan']","['22', '15', '14', '13', '26', '7', '16', '4', '19', '2', '1']"
USA,"['Pulisic', 'Ferreira', 'Weah', 'McKennie', 'Adams', 'Musah', 'Robinson', 'Ream', 'Zimmerman', 'Dest', 'Turner']","['10', '9', '21', '8', '4', '6', '5', '13', '3', '2', '1']"
Brazil,"['Jesus', 'Martinelli', 'Rodrygo', 'Antony', 'Fabinho', 'Fred', 'Telles', 'Bremer', 'Éder Militão', 'Dani Alves', 'Ederson']","['18', '26', '21', '19', '15', '8', '16', '24', '14', '13', '23']"
Switzerland,"['Embolo', 'Vargas', 'Sow', 'Shaqiri', 'Xhaka', 'Freuler', 'Rodríguez', 'Akanji', 'Schär', 'Widmer', 'Kobel']","['7', '17', '15', '23', '10', '8', '13', '5', '22', '3', '21']"
Portugal,"['João Mário', 'Ronaldo', 'Horta', 'Vitinha', 'Neves', 'Nunes', 'Cancelo', 'Silva', 'Pepe', 'Dalot', 'Costa']","['17', '7', '21', '16', '18', '23', '20', '24', '3', '2', '22']"
Uruguay,"['Núñez', 'Suárez', 'De Arrascaeta', 'Bentancur', 'Valverde', 'Pellistri', 'Olivera', 'Coates', 'Giménez', 'Varela', 'Rochet']","['11', '9', '10', '6', '15', '8', '16', '19', '2', '13', '23']"
