_key,Event_ID,team,event_team,event_time,event_type,action_player_1,action_player_2
807,807,Brazil,home,62,Goal,richarlison,
808,808,Serbia,away,64,Yellow card,luki膰,
809,809,Serbia,away,66,Substitution,Mladenovi膰,Milenkovi膰
810,810,Serbia,away,66,Substitution,vlahovi膰,luki膰
811,811,Brazil,home,73,Goal,richarlison,
812,812,Brazil,home,75,Substitution,fred,Vin铆cius J煤nior
813,813,Brazil,home,76,Substitution,rodrygo,paquet谩
814,814,Brazil,home,79,Substitution,jesus,Danilo
815,815,Brazil,home,80,Substitution,antony,richarlison
816,816,Serbia,away,83,Substitution,maksimovi膰,Veljkovic
817,817,Brazil,home,87,Substitution,martinelli,raphinha
818,818,Ghana,away,45,Yellow card,kudus,
819,819,Ghana,away,49,Yellow card,I帽aki Williams,
820,820,Portugal,home,56,Substitution,carvalho,Vitinha
821,821,Ghana,away,57,Yellow card,seidu,ot谩vio
822,822,Portugal,home,65,Penalty,ronaldo,
823,823,Ghana,away,66,Substitution,lamptey,Kudus
824,824,Ghana,away,73,Goal,seidu,
825,825,Ghana,away,77,Substitution,Partey,Jordan Ayew
826,826,Portugal,home,77,Substitution,Cancelo,neves
827,827,Ghana,away,77,Substitution,Djiku,Abdul Samed
828,828,Portugal,home,78,Goal,f茅lix,fernandes
829,829,Portugal,home,80,Goal,Cancelo,fernandes
830,830,Portugal,home,88,Substitution,Horta,Costa
831,831,Portugal,home,88,Substitution,Nunes,silva
832,832,Portugal,home,88,Substitution,ramos,f茅lix
833,833,Ghana,away,89,Goal,Abdul Samed,
834,834,Portugal,home,91,Yellow card,pereira,
835,835,Ghana,away,91,Yellow card,I帽aki Williams,
836,836,Ghana,away,92,Substitution,Mensah,Baba
837,837,Ghana,away,92,Substitution,I帽aki Williams,djiku
838,838,Portugal,home,95,Yellow card,fernandes,
839,839,Uruguay,home,57,Yellow card,c谩ceres,
840,840,Uruguay,home,64,Substitution,cavani,
841,841,South Korea,away,74,Substitution,Cho Gue-sung,Hwang Hee-chan
842,842,South Korea,away,74,Substitution,Kim Moon-hwan,Hwang Ui-jo
843,843,South Korea,away,75,Substitution,Lee Kang-in,Lee Jae-sung
844,844,Uruguay,home,78,Substitution,Valverde,Olivera
845,845,Uruguay,home,79,Substitution,Coates,vecino
846,846,South Korea,away,88,Yellow card,Cho Gue-sung,
847,847,Uruguay,home,88,Substitution,varela,pellistri
848,848,Cameroon,away,36,Yellow card,Wooh,
849,849,Switzerland,home,48,Goal,embolo,
850,850,Switzerland,home,64,Yellow card,elvedi,shaqiri
851,851,Cameroon,away,68,Substitution,hongla,Ngamaleu
852,852,Switzerland,home,71,Substitution,Fernandes,Kobel
853,853,Switzerland,home,72,Substitution,Sch盲r,sow
854,854,Switzerland,home,72,Substitution,Widmer,shaqiri
855,855,Cameroon,away,74,Substitution,aboubakar,toko ekambi
856,856,Cameroon,away,74,Substitution,mbeumo,Zambo Anguissa
857,857,Switzerland,home,81,Substitution,rieder,vargas
858,858,Cameroon,away,81,Substitution,ngamaleu,Oum Gouet
859,859,Switzerland,home,83,Yellow card,akanji,
860,860,Switzerland,home,90,Substitution,embolo,Elvedi
861,861,Belgium,home,9,Yellow card,carrasco,Tielemans
862,862,Canada,away,10,Missed penalty,davies,
863,863,Belgium,home,44,Goal,batshuayi,
864,864,Belgium,home,45,Substitution,meunier,alderweireld
865,865,Belgium,home,45,Substitution,onana,carrasco
866,866,Belgium,home,53,Yellow card,meunier,tielemans
867,867,Belgium,home,56,Yellow card,onana,
868,868,Canada,away,58,Substitution,larin,Miller
869,869,Canada,away,58,Substitution,Vit贸ria,hoilett
870,870,Belgium,home,62,Substitution,trossard,hazard
871,871,Canada,away,74,Substitution,adekugbe,laryea
872,872,Belgium,home,78,Substitution,Courtois,Mertens
873,873,Canada,away,81,Yellow card,davies,
874,874,Canada,away,81,Substitution,osorio,Adekugbe
875,875,Canada,away,81,Substitution,Vit贸ria,eust谩quio
876,876,Canada,away,83,Yellow card,johnston,buchanan
