event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
253,13,Senegal,away,45,Substitution,Dieng,Ndiaye
254,13,Senegal,away,45,Substitution,Matar Sarr,Diatta
255,13,England,home,57,Goal,Saka,Foden
256,13,England,home,65,Substitution,Rashford,Saka
257,13,England,home,65,Substitution,Grealish,Foden
258,13,Senegal,away,72,Substitution,Diédhiou,Dia
259,13,Senegal,away,76,Yellow card,Koulibaly,nan
260,13,England,home,76,Substitution,Mount,Bellingham
261,13,England,home,77,Substitution,Dier,Stones
262,13,England,home,82,Substitution,Phillips,Henderson
263,13,Senegal,away,84,Substitution,Ballo-Touré,Jakobs
264,14,France,home,31,Yellow card,Tchouaméni,nan
265,14,France,home,44,Goal,Giroud,Mbappé
266,14,Poland,away,47,Yellow card,Bereszyński,nan
267,14,Poland,away,64,Substitution,Milik,Szymański
268,14,France,home,66,Substitution,Fofana,Tchouaméni
269,14,Poland,away,71,Substitution,Zalewski,Kamiński
270,14,Poland,away,71,Substitution,Bielik,Krychowiak
271,14,France,home,74,Goal,Mbappé,Dembélé
272,14,France,home,76,Substitution,Thuram,Giroud
273,14,France,home,76,Substitution,Coman,Dembélé
274,14,Poland,away,86,Substitution,Bednarek,Kiwior
275,14,Poland,away,87,Substitution,Grosicki,Frankowski
276,14,Poland,away,88,Yellow card,Cash,nan
277,14,France,home,91,Goal,Mbappé,Thuram
278,14,France,home,92,Substitution,Disasi,Koundé
279,14,Poland,away,99,Penalty,Lewandowski,Penalty
280,15,Australia,away,15,Yellow card,Irvine,nan
281,15,Argentina,home,35,Goal,Messi,Otamendi
282,15,Australia,away,38,Yellow card,Degenek,nan
283,15,Argentina,home,50,Substitution,Martínez,Gómez
284,15,Argentina,home,57,Goal,Álvarez,nan
285,15,Australia,away,58,Substitution,Hrustić,Baccus
286,15,Australia,away,58,Substitution,Goodwin,McGree
287,15,Argentina,home,71,Substitution,Martínez,Álvarez
288,15,Argentina,home,72,Substitution,Tagliafico,Acuña
289,15,Australia,away,72,Substitution,Maclaren,Duke
290,15,Australia,away,72,Substitution,Kuol,Leckie
291,15,Australia,away,72,Substitution,Karačić,Degenek
292,15,Australia,away,77,Own goal,Fernández,goal
293,15,Argentina,home,80,Substitution,Montiel,Mac Allister
294,15,Argentina,home,80,Substitution,Palacios,Molina
295,16,Netherlands,home,10,Goal,Memphis,Dumfries
296,16,Netherlands,home,46,Goal,Blind,Dumfries
297,16,Netherlands,home,45,Substitution,Koopmeiners,Klaassen
298,16,USA,away,45,Substitution,Reyna,Ferreira
299,16,Netherlands,home,45,Substitution,Bergwijn,de Roon
300,16,Netherlands,home,60,Yellow card,Koopmeiners,nan
301,16,USA,away,67,Substitution,Aaronson,Weah
302,16,USA,away,67,Substitution,Wright,McKennie
303,16,USA,away,75,Substitution,Yedlin,Dest
304,16,USA,away,76,Goal,Wright,Pulisic
305,16,Netherlands,home,81,Goal,Dumfries,Blind
306,16,Netherlands,home,83,Substitution,Simons,Memphis
307,16,Netherlands,home,87,Yellow card,de Jong,nan
308,16,USA,away,92,Substitution,Morris,Robinson
309,16,Netherlands,home,93,Substitution,de Ligt,Aké
310,16,Netherlands,home,93,Substitution,Weghorst,Gakpo
311,17,Cameroon,home,6,Yellow card,Tolo,nan
312,17,Brazil,away,7,Yellow card,Militão,nan
313,17,Cameroon,home,28,Yellow card,Kunde,nan
314,17,Cameroon,home,32,Yellow card,Fai,nan
315,17,Brazil,away,54,Substitution,Marquinhos,Telles
316,17,Brazil,away,55,Substitution,Ribeiro,Rodrygo
317,17,Brazil,away,55,Substitution,Guimarães,Fred
318,17,Cameroon,home,64,Substitution,Toko Ekambi,Mbeumo
319,17,Brazil,away,64,Substitution,Pedro,Jesus
320,17,Cameroon,home,68,Substitution,Ntcham,Kunde
321,17,Brazil,away,79,Substitution,Raphinha,Antony
322,17,Cameroon,home,81,Yellow card,Aboubakar,nan
323,17,Brazil,away,85,Yellow card,Guimarães,nan
324,17,Cameroon,home,86,Substitution,Ngom Mbekeli,Ngamaleu
325,17,Cameroon,home,92,Goal,Aboubakar,Ngom Mbekeli
326,17,Cameroon,home,93,Second yellow card,Aboubakar,nan
327,18,Switzerland,away,15,Yellow card,Widmer,nan
328,18,Switzerland,away,20,Goal,Shaqiri,Sow
329,18,Serbia,home,26,Goal,Mitrović,Tadić
330,18,Switzerland,away,34,Yellow card,Vargas,nan
331,18,Serbia,home,35,Goal,Vlahović,nan
332,18,Switzerland,away,44,Goal,Embolo,Widmer
